"customer_state","total_orders","avg_shipping_cost","avg_delivery_days","avg_review_score"
RR,35,44.24,27.7,3.93
RO,190,41.83,20.1,4.09
PB,395,40.71,20.6,4.03
AC,63,39.63,19.4,4.14
PI,368,39.58,18.5,3.99
MA,578,38.57,21.3,3.76
TO,215,36.86,16.6,4.16
AL,312,36.08,24.7,3.81
SE,263,35.72,21.8,3.83
PA,735,35.68,23.2,3.84
RN,368,35.02,19.0,4.08
CE,985,33.82,21.1,3.88
AP,48,33.53,29.2,4.19
PE,1229,33.28,18.2,4.03
AM,115,33.17,26.1,4.24
MT,704,28.28,17.8,3.97
BA,2573,26.65,19.1,3.85
MS,556,23.15,15.5,4.08
GO,1514,22.72,15.5,4.02
ES,1593,22.13,15.4,4.01
SC,2799,21.59,14.8,4.05
RS,4185,21.58,15.0,4.08
RJ,9589,20.97,15.0,3.88
DF,1649,20.79,12.8,4.08
PR,3889,20.66,11.8,4.13
MG,8851,20.43,11.9,4.11
SP,31558,15.14,8.6,4.17
